DR2Name,RA_ICRS,DE_ICRS,Gmag,e_Gmag,BP-RP,e_BP-RP,Plx,pmRA,pmDE,e_Plx,e_pmRA,e_pmDE,MP,sel
Gaia DR2 3026533195727069568,-0.003844104515906065,-0.0042325372949996165,20.162336170414616,0.006252308341129832,1.8218592524824686,0.037858571724751704,0.2348,-1.811,1.969,0.6116,0.797,0.851,0.957,1
Gaia DR2 3026533268737925632,-0.008271078408878326,0.0017944835850016716,20.132064064183467,0.005445106521919511,1.7920893091514962,0.056571037771337096,-0.0636,-2.842,6.942,0.575,0.74,0.782,0.953,1
Gaia DR2 3026533200018426368,0.005879348415788995,-0.0033888948349982684,20.648325069956602,0.009509903532381325,1.8169670741357855,0.0495659770772588,1.056,-0.84,2.105,1.4036,1.601,1.833,0.953,1
Gaia DR2 3026533200018436736,-0.0029441783968334402,0.005235615414999728,19.6557376943464,0.00464800268071513,2.2311625704364495,0.04606995482987918,0.3363,-2.14,1.832,0.3846,0.531,0.593,0.95,1
Gaia DR2 3026533264446544896,-0.008020508740093652,0.0035781400550014553,19.97721034339172,0.005993003595235488,2.4186541718098944,0.08748234058546506,1.2166,-0.598,2.563,0.6839,0.882,0.949,0.946,1
Gaia DR2 3026533195727068928,-0.006378322814129462,0.00240629335500131,19.469705643412887,0.004898851407172948,2.279940809329819,0.06641847806197936,-0.1362,-1.993,1.889,0.3681,0.501,0.576,0.939,1
Gaia DR2 3026538869375235968,0.01710314088822897,-0.006035687744997631,19.780828065914562,0.004617449253949145,2.1720322879743996,0.052077846813701714,0.2817,-2.306,2.226,0.4473,0.56,0.645,0.939,1
Gaia DR2 3026539105602071168,0.011037403666485467,0.017638231295002527,19.45162245819942,0.0038930249552530786,2.1292000302148715,0.0487778433322393,0.3675,-2.119,1.957,0.3279,0.433,0.491,0.938,1
Gaia DR2 3026538865083905792,0.0168766533210806,0.0045385174250007765,20.118040941816954,0.006054179270090508,2.11897870318154,0.06206485159180584,0.739,-1.101,1.361,0.5895,0.744,0.804,0.935,1
Gaia DR2 3026539144253162880,-0.005289228111106889,0.016327870675002742,19.879496372801693,0.005062967341999378,2.2613132529662323,0.08062232264873162,0.0113,-2.855,3.185,0.4449,0.629,0.759,0.934,1
Gaia DR2 3026539071240784384,0.01033661264571652,0.0026771515749999253,19.777022511615073,0.004646825171801782,2.001138798802657,0.037662162012873694,0.4333,-2.619,3.487,0.4486,0.585,0.766,0.933,1
Gaia DR2 3026539075533662720,0.009040892440183404,0.012098064454999502,19.832343297944487,0.004638391361442411,1.7097386170840494,0.05004133401246983,0.1879,-1.854,2.121,0.4413,0.615,0.655,0.93,1
Gaia DR2 3026538865083904896,0.01215895755353226,-0.002390147065000292,19.855437004483626,0.005234640130409375,2.1892793783020643,0.05684331861871882,0.4413,-1.642,0.795,0.4472,0.57,0.652,0.923,1
Gaia DR2 3026532993860015104,0.004409079677272206,-0.014304916374999976,20.706486173330852,0.009250703769031334,1.9956907925422556,0.06984350733550647,0.0199,0.426,-0.222,1.2627,1.43,1.507,0.921,1
Gaia DR2 3026533234388859264,-0.017304539160333823,-0.0008145596549979928,14.674009900565112,0.0018190901234951115,1.0071639028367123,0.006220336199831161,1.3661,-2.334,2.617,0.0244,0.033,0.035,0.92,1
Gaia DR2 3026539144263846912,-0.0018636787905077494,0.016482026375001624,15.103182937152575,0.0018346803908766477,1.8445489703172857,0.004565347063854914,0.2286,-1.794,2.402,0.0273,0.037,0.04,0.917,1
Gaia DR2 3026539075544362496,0.014212795480268905,0.011943182275000908,14.057542362343217,0.0018733306769157638,1.2402534913574126,0.003671163496520131,0.2553,-1.82,2.144,0.0217,0.027,0.032,0.916,1
Gaia DR2 3026533200029114112,-0.001251917040161929,-0.0014941504549987883,13.410852403243183,0.0018092807696615417,0.7714538502146056,0.0026697917798943933,0.9398,-0.526,4.43,0.019,0.025,0.027,0.913,1
Gaia DR2 3026533200029114880,-0.003709733224967877,0.0007900253950019476,12.450472233024744,0.00197605456980596,1.305566263379328,0.004814867955237938,0.3938,-1.907,2.402,0.0308,0.042,0.044,0.912,1
Gaia DR2 3026532993870680960,0.007029562981166757,-0.008047258954999137,13.117073533721681,0.001912404970127703,1.5832202915856808,0.015837495312404252,0.0853,-2.29,2.381,0.0308,0.042,0.045,0.911,1
Gaia DR2 3026538869385935232,0.01835179790017003,-0.004690944044998702,13.840102175088179,0.0018103481745291902,0.6821495525660914,0.002766179837690433,0.9116,-3.21,6.147,0.0214,0.026,0.029,0.91,1
Gaia DR2 3026533268748593280,-0.008850233857781904,0.00327548180500159,20.27863387091985,0.006246097410768074,2.116672206101576,0.1435851234219886,1.1273,-1.035,-0.402,0.7468,0.971,1.054,0.908,1
Gaia DR2 3026538869385934080,0.016038037269926104,0.003115046455000936,16.241141578061658,0.0018782396797077236,1.6837165464179744,0.005326570831914646,0.1997,-1.871,2.199,0.0488,0.063,0.074,0.904,1
Gaia DR2 3026533195725523712,-0.0018640408837324975,0.0019422053350020008,16.15648418317737,0.0018824911331874348,1.5239894576841486,0.004970134060901044,1.489,-5.597,19.146,0.0439,0.065,0.07,0.903,1
Gaia DR2 3026538869385935488,0.019132762517633378,-0.007465756454998029,15.98331312479287,0.0018617682083013909,1.224243733850635,0.0040089581248492975,0.543,-1.889,0.991,0.0445,0.055,0.063,0.902,1
Gaia DR2 3026533161367331968,-0.002464453792301168,-0.01263589371500018,20.71722560509827,0.009260874154944794,2.031100252391351,0.08822575854150533,-3.6086,-2.082,3.837,1.0771,1.269,1.68,0.901,1
Gaia DR2 3026533200029115392,-3.553141141969543e-05,-0.008073580494997401,16.05631595767821,0.0018731874611024038,1.2146356919748378,0.004164068502779408,0.3797,-1.596,2.032,0.046,0.058,0.065,0.899,1
Gaia DR2 3026539075544369152,0.008553824529261272,-0.0008632706049986894,16.34051776711468,0.0018901062923669214,1.5301079797107295,0.0056353431689199,0.1553,-1.879,2.42,0.0549,0.069,0.088,0.898,1
Gaia DR2 3026539144263848320,-0.0008418805481039686,0.00957001564500004,16.58781771586258,0.0019044649868101692,1.5245029875546248,0.005476118025591402,0.1128,-1.896,2.348,0.0589,0.08,0.089,0.894,1
Gaia DR2 3026533234388859520,-0.02078705874361678,0.004647193235001623,16.817057965457177,0.0019051279987626023,1.5124683996834634,0.0097233504019936,0.5156,-3.37,-0.395,0.0627,0.085,0.097,0.894,1
Gaia DR2 3026539144263850624,-0.007489926758400969,0.01424056757500125,17.43040985644878,0.0019801682997682463,1.7686493623943278,0.01148385058756196,0.2404,-1.869,2.138,0.0856,0.116,0.127,0.888,1
Gaia DR2 3026532989566472576,0.006552597925128268,-0.012694955584997558,16.69905337943601,0.0018954126321187354,1.826100201663106,0.00595984961641203,0.3696,-1.935,2.439,0.0644,0.081,0.103,0.883,1
Gaia DR2 3026533268748594432,-0.012442487590528692,0.006764848665000045,17.60052615881689,0.0020470332807212915,1.8662300073335452,0.011357882819078086,0.1174,-1.87,2.376,0.1005,0.136,0.147,0.881,1
Gaia DR2 3026532993870679296,0.011859557811885637,-0.00972979969499832,17.567608384181554,0.0020061238308976643,2.0698843869916352,0.011180611603868539,0.3171,-1.745,2.124,0.099,0.132,0.147,0.878,1
Gaia DR2 3026533195727069440,-0.004590348647667363,-0.00053338609500031,18.41468377210486,0.0030968861361628064,2.036315620906546,0.04835595999083398,0.6883,-1.743,2.868,0.2526,0.335,0.383,0.87,1
Gaia DR2 3026539139959641728,-0.004311551620685023,0.011142841754999466,18.25230497109304,0.0022767197178054826,1.9234248299818226,0.01756608691452285,0.0557,-1.484,2.52,0.1503,0.207,0.215,0.866,1
Gaia DR2 3026539071240164480,0.008863896149040738,0.016068785245000328,18.2325748950558,0.0022581531936679347,1.643270909119071,0.016964248654440354,0.4871,-2.099,0.332,0.1441,0.192,0.209,0.865,1
Gaia DR2 3026533195724903936,-0.003471897696964863,-0.009111172804999512,18.27792779769567,0.002239586725691488,1.7486154973296486,0.01771054265463987,0.9433,-5.086,-0.076,0.1643,0.21,0.232,0.864,1
Gaia DR2 3026532959510947584,0.005022968951263659,-0.018400689945000437,18.25147619852456,0.0023502535649985528,1.6851768227342845,0.02351342367897306,0.369,0.627,-1.168,0.1555,0.201,0.218,0.861,1
Gaia DR2 3026532955206676864,-0.002603318679681725,-0.01789239018500055,18.451820745431323,0.002371196842220987,2.02313814268528,0.02060618221759637,0.1011,-1.795,2.384,0.1661,0.211,0.242,0.861,1
Gaia DR2 3026533161365783168,-0.012943072421964153,-0.007541613114998569,18.32412552989463,0.0022807854862911163,1.6434954799969468,0.01639825926055771,0.3781,-1.19,-0.693,0.1512,0.199,0.219,0.86,1
Gaia DR2 3026532989566475136,0.0044532196851356405,-0.012163545814999566,18.611271034397674,0.0025480202896846047,1.8574284138470318,0.01829939223243011,0.2331,-2.137,2.806,0.1997,0.247,0.277,0.859,1
Gaia DR2 3026533264446545408,-0.007402984904015416,0.007532975515001539,18.50586914640548,0.0027366028309144734,1.791371080674221,0.022010283861944663,0.5829,-0.805,0.995,0.1949,0.258,0.284,0.858,1
Gaia DR2 3026532989566474752,0.013634525210137251,-0.010697337044998534,18.75922926062603,0.002555333027764738,1.9596851119410985,0.025574980426473444,0.9634,-5.891,-5.8,0.205,0.275,0.312,0.858,1
Gaia DR2 3026533264445001088,-0.00446638378883011,0.007524806535002426,18.71734269658092,0.0030459564007386517,2.079851562929303,0.022702272005438444,0.8096,-1.812,2.133,0.2195,0.286,0.313,0.855,1
Gaia DR2 3026539075544365312,0.01340386502767352,0.0041053218750022324,13.533444464722882,0.0018108057779321904,0.6851121811093872,0.0026771589171290812,1.0152,0.305,-2.57,0.0192,0.025,0.028,0.908,0
Gaia DR2 3026539144263841152,0.006462660398757416,0.019638364485000892,14.93778109701479,0.0018234579184070161,1.1845996924251843,0.003081305514615184,0.624,-0.601,-0.067,0.0267,0.036,0.042,0.904,0
Gaia DR2 3026533165669380608,-0.005402048386739288,-0.010641890635000095,15.915473101868585,0.0018638721229362802,1.6941948595213638,0.004765646505213974,0.1815,-2.125,2.341,0.0415,0.053,0.059,0.9,0
Gaia DR2 3026533268748591232,-0.0072273378186600255,0.008500885374999712,16.485093372190683,0.0018845826452168135,1.1744915162698533,0.005212281883174007,0.8447,-11.469,11.891,0.0526,0.074,0.081,0.895,0
Gaia DR2 3026538869385936768,0.01519813559689117,-0.005341762015000029,15.123705928401206,0.0018247376923038198,1.163068834132293,0.003178258171083835,0.7609,-3.135,1.835,0.043,0.054,0.06,0.894,0
Gaia DR2 3026533165658721408,-0.013726491849924133,-0.006335265335000173,20.02440993149579,0.005575834717364703,1.9560187222968786,0.06171141342997998,1.4254,-5.311,3.076,0.6704,0.874,0.938,0.892,0
Gaia DR2 3026539144253163008,-0.004892302805504363,0.016432110814999845,19.83111020728979,0.0044906048861314924,1.8669011601909347,0.05037619609260321,0.2725,2.36,3.922,0.4414,0.594,0.674,0.89,0
Gaia DR2 3026533195724902400,-0.0015064700706578203,-0.009500274394998343,16.80928711359344,0.0019385737979636262,1.3881550426066802,0.0066059147071142,0.6284,-0.975,0.939,0.0667,0.086,0.1,0.887,0
Gaia DR2 3026533200029115904,-0.005251014687353585,-0.00022278384500040715,17.199559866027403,0.0020376046711067125,1.503836995954778,0.013327150553482776,0.1935,-2.209,2.644,0.0816,0.11,0.116,0.885,0
Gaia DR2 3026539109904099584,0.016732660518844627,0.01109406214500197,17.139791189074028,0.0019671998403748767,1.4645579197144407,0.007648191881550161,0.6372,-2.857,2.252,0.0854,0.104,0.116,0.882,0
Gaia DR2 3026533195727068288,-0.007579567359682879,-0.0012852397549991679,20.213902490522866,0.006127205226176884,1.799337854902383,0.03935116151319361,0.8526,-1.237,1.52,0.6716,0.867,0.95,0.882,0
Gaia DR2 3026532993870685568,0.0014547108147487458,-0.011693848865000689,17.40991606161652,0.0020129832725702818,2.066071197981138,0.010731023374900783,0.1244,-1.877,2.323,0.0997,0.129,0.145,0.88,0
Gaia DR2 3026538865082351360,0.018201931527309007,-0.010059044054997912,17.348852908245384,0.0019646254038421414,1.7088414345032774,0.008047398011845135,0.2385,-1.959,2.505,0.0895,0.111,0.126,0.876,0
Gaia DR2 3026539144253155712,-0.0024836651350769513,0.016800058204999857,17.4227127860376,0.002184459438472666,1.5114891721534818,0.028181203800958603,0.5922,-0.567,1.891,0.1089,0.148,0.161,0.876,0
